id,area,name,width,height
e229e0fd-559b-4c1e-bcba-ac23db1d01e3,Manhattan,"6 Ave @ 57 St",352,240
6d3a21dd-0434-4d92-a0d1-3ca8b77297db,Manhattan,"5 Ave @ E 58 St",352,240
3095997f-dd41-4e71-a810-9290576c17a6,Manhattan,"12 Ave @ 57 St",352,240
08328372-55a2-448a-b180-9b4bce0b8d9e,Manhattan,"Broadway @ Morris St",352,240
1d839733-c963-44bc-9da4-f02ba20ca307,Queens,"Woodhaven Blvd @ Rockaway Blvd",704,240
41397b64-d035-4b41-a03e-170fe4103d89,Manhattan,"Park Ave @ 79 St",352,240
20b2298a-90cf-463f-b172-0b398a34f061,Manhattan,"Park Ave @ 37 St",352,240
0f657445-4729-4c98-8f3a-9591c1879b92,Bronx,"Bruckner Blvd E / White Plains Rd- Camera 2",352,240
83655dbc-7902-4fdb-926c-15fee4396b83,Manhattan,"Broadway @ 38 St",352,240
21fc45fc-30fb-4d6a-ae1b-7d2d2730dfca,Queens,"Cross Bay Blvd @ 107 Ave",352,240
2e43a9d0-1df8-4a38-ae20-2e0f359bb55d,Brooklyn,"Flatbush Ave @ Empire Blvd",352,240
13064b49-6f97-43a2-9cf8-947767afaa12,Queens,"C5-BQE-42-WB_at_30th_Ave-Ex43",1920,1080
ecba28cb-ac70-4d25-abcb-6506111ea120,Manhattan,"FDR Dr @ Brooklyn Bridge ",352,240
01ffcaef-7c54-4f16-8668-bce6efbcfcb1,Staten Island,"Hylan Ave @ Page Ave",352,240
9b923606-16ba-45ad-a105-aabcc98ef1fa,Manhattan,"12 Ave @ 22 St",352,240
29aaea67-bf67-4d6f-b572-f810f48f5b48,Staten Island,"Drumgoogle Rd E @ Vernon Ave",352,240
154a987b-7f71-4c09-a932-f256d085a34a,Queens,"GCP @ 214 St",352,240
243e945a-b872-4bac-9898-94ce8963ef44,Brooklyn,"Flatbush Ave @ DeKalb Ave",352,240
9c4c2657-6796-4953-bbe6-c50f24bb5820,Manhattan,"5 Ave @ 57 St",352,240
09cc9eed-0732-4199-a6ca-b3d0bbbad860,Bronx,"C1-MDE-06-NB_at_Macombs_Dam_Br-Ex5",1920,1080
2e70dd1f-b21f-4215-bc22-237a1d79eb71,Staten Island,"C3-KWV-02-NB_at_Bloomngdale_Rd-Ex2",720,480
a454105b-8f59-4d96-a656-9a2d29f1353d,Brooklyn,"WBB-1 @ Bklyn Plaza",352,240
f581cdc7-684b-4309-8c12-34b0bacd72bf,Manhattan,"3 Ave @ E 125 St",352,240
a0d4d925-37f5-45f4-b25a-a65c6577c008,Brooklyn,"BB-47 North Rdwy @ West of Bklyn Twr",352,240
a0ecf291-582c-4c42-933f-0b9ed4ce885c,Queens,"Queens Plaza N @ Northern Blvd",352,240
9d86d84c-6d3a-45a6-a8ad-fb5ab52f2b52,Manhattan,"E 57 St @ QBB",352,240
1e60ade7-c760-48cf-acd9-d9d6cbfa9420,Manhattan,"7 Ave @ 32 St",352,240
